"","num","A_Sales_Year","A_Sales_Value"
"258","50467360","07/15/1985","$65,000"
"259","50467370","05/11/2004","$0"
"260","50467370","03/28/2003","$100,000"
"261","50467370","02/27/1996","$75,800"
"262","50467380","03/11/2025","$257,500"
"263","50467380","12/20/2019","$0"
"264","50467380","08/11/2006","$206,500"
"265","50467380","06/27/2002","$64,900"
"266","50467380","07/12/1999","$0"
"267","50467380","05/30/1985","$68,000"
"268","50467390","02/26/2020","$220,000"
"269","50467390","08/31/1992","$64,700"
"270","50467390","06/27/1985","$69,825"
"271","50467390","09/26/1984","$0"
"272","50467400","08/01/2017","$200,000"
"273","50467400","04/13/2006","$259,500"
"274","50467400","07/24/2003","$122,500"
"275","50467400","10/03/1990","$80,000"
"276","50467400","06/01/1990","$56,700"
"277","50467410","09/08/2020","$220,000"
"278","50467410","05/16/2019","$0"
"279","50467410","11/16/2008","$0"
"280","50467410","08/31/1995","$64,000"
"281","50467410","04/26/1985","$72,500"
"282","50467410","09/26/1984","$0"
"283","50467420","02/09/2021","$243,000"
"284","50467420","03/15/2016","$125,000"
"285","50467420","06/20/1985","$72,030"
"286","50467420","09/26/1984","$0"
"287","50467430","09/21/2021","$225,000"
"288","50467430","02/22/2008","$155,000"
"289","50467430","11/21/2002","$75,000"
"290","50467430","12/27/1989","$0"
"291","50467430","07/24/1985","$66,500"
"292","50467440","09/30/2017","$0"
"293","50467440","09/22/2005","$264,000"
"294","50467440","11/05/1996","$230,000"
"295","50467440","05/09/1995","$65,000"
"296","50467450","03/12/2020","$210,000"
"297","50467450","05/16/2019","$0"
"298","50467450","11/16/2008","$0"
"299","50467450","09/25/2002","$60,000"
"300","50467450","07/03/1997","$0"
"301","50467450","06/18/1985","$73,500"
"302","50467460","05/08/2020","$240,000"
"303","50467460","01/31/2016","$0"
"304","50467460","01/18/2014","$119,810"
"305","50467460","12/29/2005","$225,000"
"306","50467460","11/06/2003","$98,000"
"307","50467460","06/27/1985","$69,825"
"308","50467460","09/26/1984","$0"
"309","50467470","05/06/2022","$246,000"
"310","50467470","04/14/2020","$235,000"
"311","50467470","05/24/2012","$112,000"
"312","50467470","08/08/2003","$96,990"
"313","50467470","06/19/1985","$73,900"
"314","50467470","09/26/1984","$0"
"315","50467480","05/15/2019","$220,000"
"316","50467480","09/26/2014","$0"
"317","50467480","08/25/2014","$0"
"318","50467480","11/17/2009","$15,000"
"319","50467480","12/22/2005","$0"
"320","50467480","06/13/1985","$82,900"
"321","50467480","09/26/1984","$0"
"322","50467490","06/27/2023","$0"
"323","50467490","12/09/2021","$180,000"
"324","50467490","02/14/2019","$0"
"325","50467490","07/26/1985","$71,030"
"326","50467490","09/26/1984","$0"
"327","50467500","07/17/2020","$247,500"
"328","50467500","02/22/2006","$215,000"
"329","50467500","10/28/2003","$110,000"
"330","50467500","12/29/2000","$49,500"
"331","50467500","05/10/1985","$72,422"
"332","50467510","10/08/2003","$140,000"
"333","50467510","02/11/2003","$120,000"
"334","50467510","06/10/1985","$78,000"
"335","50467520","12/13/2019","$259,000"
"336","50467520","04/15/2004","$160,000"
"337","50467520","04/03/1996","$0"
"338","50467520","07/21/1985","$77,420"
"339","50467530","08/15/2006","$199,000"
"340","50467530","05/24/2004","$160,000"
"341","50467530","12/19/2003","$102,500"
"342","50467530","12/18/1998","$0"
"343","50467540","08/03/2022","$239,000"
"344","50467540","04/25/2005","$206,000"
"345","50467540","06/22/2004","$154,800"
"346","50467540","11/25/2003","$99,500"
"347","50467550","05/13/2022","$305,000"
"348","50467550","03/16/2009","$147,000"
"349","50467550","03/14/2007","$250,000"
"350","50467550","09/11/2003","$115,000"
"351","50467550","10/01/1990","$86,000"
"352","50467550","06/19/1984","$82,500"
"353","50467560","09/03/2019","$195,000"
"354","50467560","05/01/1989","$0"
"355","50467560","04/10/1986","$0"
"356","50467560","06/28/1985","$65,060"
"357","50467570","09/13/1989","$73,000"
"358","50467570","05/02/1989","$51,100"
"359","50467570","06/14/1985","$68,875"
"360","50467580","09/22/2017","$148,000"
"361","50467580","05/11/2004","$150,000"
"362","50467580","04/29/2003","$81,000"
"363","50467580","06/27/1985","$69,825"
"364","50467590","04/25/2019","$245,000"
"365","50467590","08/22/2014","$145,000"
"366","50467590","03/26/2014","$67,500"
"367","50467590","07/20/2004","$130,000"
"368","50467590","04/18/2000","$59,000"
"369","50467590","09/10/1996","$0"
"370","50467600","05/24/2002","$70,000"
"371","50467600","09/25/1993","$52,200"
"372","50467600","07/26/1991","$59,500"
"373","50467610","11/23/2009","$156,000"
"374","50467610","05/07/2004","$157,900"
"375","50467610","03/05/2004","$125,000"
"376","50467610","08/13/2003","$85,000"
"377","50467610","04/25/1985","$0"
"378","50467620","11/04/2014","$145,000"
"379","50467620","04/30/2003","$81,000"
"380","50467620","06/27/1985","$70,205"
"381","50467620","09/26/1984","$0"
"382","50467630","05/30/2019","$256,000"
"383","50467630","08/30/2012","$138,000"
"384","50467630","12/04/2008","$135,000"
"385","50467630","07/16/2008","$139,300"
"386","50467630","10/12/2005","$263,000"
"387","50467630","07/20/2005","$0"
"388","50467630","08/08/2001","$70,000"
"389","50467640","05/15/2003","$81,000"
"390","50467640","06/27/1985","$70,205"
"391","50467640","09/26/1984","$0"
"392","50467650","08/19/2015","$223,000"
"393","50467650","04/14/2005","$220,000"
"394","50467650","06/20/1985","$78,000"
"395","50467650","09/26/1984","$0"
"396","50467660","01/19/2023","$345,000"
"397","50467660","02/23/2010","$205,000"
"398","50467660","10/23/2001","$0"
"399","50467660","06/28/1985","$82,353"
"400","50467660","09/26/1984","$0"
"401","50467670","02/03/2004","$120,000"
"402","50467670","11/05/1996","$230,000"
"403","50467670","07/11/1995","$60,000"
"404","50467680","07/15/2016","$0"
"405","50467680","07/15/2016","$168,832"
"406","50467680","01/05/2016","$159,000"
"407","50467680","10/17/2006","$243,900"
"408","50467680","05/30/2006","$0"
"409","50467680","09/05/2000","$347,775"
"410","50467680","05/11/2000","$41,250"
"411","50467680","06/21/1985","$78,375"
"412","50467690","10/28/2014","$210,000"
"413","50467690","08/08/2014","$162,000"
"414","50467690","08/11/2005","$215,000"
"415","50467690","06/18/1986","$80,850"
"416","50467690","09/26/1984","$0"
"417","50467700","12/27/2022","$229,000"
"418","50467700","08/28/2018","$167,000"
"419","50467700","05/01/1989","$0"
"420","50467700","04/10/1986","$0"
"421","50467700","06/28/1985","$65,660"
"422","50467710","06/21/2024","$265,000"
"423","50467710","08/03/2022","$233,200"
"424","50467710","06/10/2022","$165,000"
"425","50467710","04/26/1985","$61,750"
"426","50467710","09/26/1984","$0"
"427","50467720","08/16/2023","$0"
"428","50467720","10/13/2017","$0"
"429","50467720","04/08/2004","$160,000"
"430","50467720","06/21/1985","$82,500"
"431","50467720","09/26/1984","$0"
"432","50467730","10/11/2017","$203,000"
"433","50467730","04/03/2015","$105,000"
"434","50467730","09/23/1988","$0"
"435","50467730","05/14/1985","$79,055"
"436","50467730","09/26/1984","$0"
"437","50467740","04/29/2021","$205,000"
"438","50467740","05/02/2018","$0"
"439","50467740","05/01/2015","$146,000"
"440","50467740","04/29/2010","$148,000"
"441","50467740","02/16/2001","$51,000"
"442","50467740","09/25/1990","$69,900"
"443","50467740","09/25/1990","$0"
"444","50467750","06/10/2004","$125,000"
"445","50467750","05/18/1985","$72,900"
"446","50467750","09/26/1984","$0"
"447","50467760","09/05/2023","$365,100"
"448","50467760","02/11/2022","$340,000"
"449","50467760","06/17/2021","$309,500"
"450","50467760","02/01/2021","$220,000"
"451","50467760","05/10/1996","$60,000"
"452","50467760","01/13/1995","$0"
"453","50467760","01/13/1995","$71,564"
"454","50467770","11/30/2007","$0"
"455","50467770","12/07/2004","$0"
"456","50467770","03/05/1999","$0"
"457","50467770","06/01/1993","$87,000"
"458","50467780","09/22/2020","$224,000"
"459","50467780","12/28/2004","$163,500"
"460","50467780","06/28/1985","$73,900"
"461","50467780","09/26/1984","$0"
"462","50467790","01/03/2018","$0"
"463","50467790","07/01/2008","$236,500"
"464","50467790","04/03/1996","$0"
"465","50467790","06/21/1985","$77,420"
"466","50467790","09/26/1984","$0"
"467","50467800","09/21/2020","$320,000"
"468","50467800","10/20/2017","$217,500"
