num,sale_year,sale_price
50467700,8/28/2018,"$167,000 "
50467700,5/1/1989,$0 
50467700,4/10/1986,$0 
50467700,6/28/1985,"$65,660 "
50467710,6/21/2024,"$265,000 "
50467710,8/3/2022,"$233,200 "
50467710,6/10/2022,"$165,000 "
50467710,4/26/1985,"$61,750 "
50467710,9/26/1984,$0 
50467720,8/16/2023,$0 
50467720,10/13/2017,$0 
50467720,4/8/2004,"$160,000 "
50467720,6/21/1985,"$82,500 "
50467720,9/26/1984,$0 
50467730,10/11/2017,"$203,000 "
50467730,4/3/2015,"$105,000 "
50467730,9/23/1988,$0 
50467730,5/14/1985,"$79,055 "
50467730,9/26/1984,$0 
50467740,4/29/2021,"$205,000 "
50467740,5/2/2018,$0 
50467740,5/1/2015,"$146,000 "
50467740,4/29/2010,"$148,000 "
50467740,2/16/2001,"$51,000 "
50467740,9/25/1990,"$69,900 "
50467740,9/25/1990,$0 
50467750,6/10/2004,"$125,000 "
50467750,5/18/1985,"$72,900 "
50467750,9/26/1984,$0 
50467760,9/5/2023,"$365,100 "
50467760,2/11/2022,"$340,000 "
50467760,6/17/2021,"$309,500 "
50467760,2/1/2021,"$220,000 "
50467760,5/10/1996,"$60,000 "
50467760,1/13/1995,$0 
50467760,1/13/1995,"$71,564 "
50467770,11/30/2007,$0 
50467770,12/7/2004,$0 
50467770,3/5/1999,$0 
50467770,6/1/1993,"$87,000 "
50467780,9/22/2020,"$224,000 "
50467780,12/28/2004,"$163,500 "
50467780,6/28/1985,"$73,900 "
50467780,9/26/1984,$0 
50467790,1/3/2018,$0 
50467790,7/1/2008,"$236,500 "
50467790,4/3/1996,$0 
50467790,6/21/1985,"$77,420 "
50467790,9/26/1984,$0 
50467800,9/21/2020,"$320,000 "
50467800,10/20/2017,"$217,500 "
50467800,4/8/2011,$0 
50467800,4/8/2011,$0 
50467800,12/29/2010,"$115,500 "
50467800,6/4/2010,"$232,807 "
50467800,7/30/2004,"$220,000 "
50467800,8/28/2001,"$111,100 "
50467800,7/22/1997,$0 
50467810,11/27/1996,"$48,500 "
50467810,5/23/1995,"$60,000 "
50467810,4/25/1985,"$64,020 "
50467820,1/22/2021,"$255,000 "
50467820,9/30/2011,"$144,200 "
50467820,5/12/2011,"$135,000 "
50467820,2/6/2007,$0 
50467820,10/26/2004,"$201,000 "
50467820,3/18/2004,"$156,000 "
50467820,5/23/1985,"$81,500 "
50467830,6/27/2018,"$195,407 "
50467830,3/6/2018,"$182,250 "
50467830,8/11/2017,"$166,419 "
50467830,10/27/2009,"$180,000 "
50467830,12/15/1989,"$85,000 "
50467830,6/20/1985,"$82,500 "
50467830,9/26/1984,$0 
50467840,6/15/2010,"$142,000 "
50467840,4/15/2004,"$140,000 "
50467840,1/11/2002,"$59,500 "
50467840,7/18/1985,"$72,500 "
50467850,11/2/2009,"$146,848 "
50467850,5/1/1985,"$72,500 "
50467850,9/26/1984,$0 
50467860,8/27/2021,"$300,000 "
50467860,2/1/2005,"$200,000 "
50467860,5/28/1985,"$80,850 "
50467860,9/26/1984,$0 
50467870,5/12/2002,"$60,500 "
50467870,7/18/1985,"$75,395 "
50467870,9/26/1984,$0 
50467880,12/19/2023,"$247,000 "
50467880,8/19/2002,"$68,000 "
50467880,12/27/1989,$0 
50467880,4/30/1985,"$68,875 "
50467890,10/5/2022,"$206,250 "
50467890,2/6/2007,$0 
50467890,8/20/1999,"$38,000 "
50467890,1/1/1987,$0 
50467890,5/1/1985,"$73,000 "
50467900,11/15/2019,"$219,300 "
50467900,9/16/2003,"$132,000 "
50467900,6/14/1985,"$82,900 "
50467900,9/26/1984,$0 
50467910,3/22/2001,"$58,000 "
50467910,6/6/1985,"$80,262 "
50467910,9/26/1984,$0 
50467920,8/20/2018,"$158,000 "
50467920,9/26/2016,"$130,000 "
50467920,2/16/2016,"$105,677 "
50467920,1/28/1995,$0 
50467920,8/2/1989,"$73,000 "
50467920,5/2/1989,"$61,000 "
43144000,1/31/1985,$0 
43144000,10/1/1984,"$3,533,000 "
43144000,9/26/1984,$0 
43144000,6/30/1983,"$5,440,000 "
43144000,1/1/1942,$0 
50467930,5/21/2010,$0 
50467930,4/30/2001,"$75,000 "
50467930,1/31/1996,$0 
50467930,6/17/1985,"$83,202 "
50467940,5/23/2018,"$205,000 "
50467940,1/11/2012,"$128,900 "
50467940,4/3/2006,$0 
50467940,3/10/2000,"$48,000 "
50467940,12/3/1999,"$35,000 "
50467940,7/23/1999,"$30,500 "
50467950,4/24/2006,"$213,000 "
50467950,9/23/2002,"$56,000 "
50467950,5/29/1996,"$44,000 "
50467950,3/31/1995,"$40,500 "
50467960,5/24/2017,"$195,000 "
50467960,10/31/2012,"$142,000 "
50467960,6/5/2008,$0 
50467960,12/6/1993,"$75,000 "
50467960,4/24/1992,"$68,000 "
50467960,6/21/1985,"$76,000 "
50467970,8/4/2023,$0 
50467970,8/4/2023,$0 
50467970,2/20/2003,"$119,000 "
50467970,6/7/2000,"$62,500 "
50467970,6/19/1985,"$71,250 "
50467980,12/5/2024,$0 
50467980,3/31/2016,"$131,500 "
50467980,8/14/2015,"$75,550 "
50467980,4/11/2005,"$180,000 "
50467980,10/22/2002,"$463,000 "
50467980,8/22/2001,"$42,750 "
50467990,7/29/2019,"$170,000 "
50467990,5/7/2010,"$63,500 "
50467990,1/20/2004,"$127,000 "
50467990,8/25/2003,"$70,000 "
50467990,11/4/1998,"$41,000 "
50468000,12/22/2021,"$242,000 "
50468000,9/20/2021,$0 
50468000,3/28/1991,"$75,000 "
50468000,6/25/1985,"$76,475 "
50468000,9/26/1984,$0 
50468010,12/28/2021,"$227,500 "
50468010,12/5/2005,"$249,000 "
50468010,6/21/1985,"$82,500 "
50468010,9/26/1984,$0 
50468020,6/7/1985,"$62,500 "
50468020,9/26/1984,$0 
50468030,11/6/2012,"$110,000 "
50468030,8/27/2004,"$159,000 "
50468030,11/5/1996,"$230,000 "
50468030,7/11/1995,"$60,000 "
50468040,3/15/2004,"$144,000 "
50468040,6/19/1985,"$82,900 "
50468040,9/26/1984,$0 
50468050,4/29/2021,"$265,000 "
50468050,8/30/2017,"$150,000 "
50468050,6/25/2001,"$66,900 "
50468050,5/9/1985,"$77,000 "
50468050,9/26/1984,$0 
50468060,11/6/2020,"$196,000 "
50468060,5/20/2005,"$196,888 "
50468060,3/13/2003,$0 
50468060,12/20/2002,"$74,500 "
50468070,7/26/2022,"$223,000 "
50468070,11/4/2020,"$225,000 "
50468070,9/9/2013,"$135,000 "
50468070,6/12/2013,"$97,750 "
50468070,4/11/2006,"$225,000 "
50468070,4/29/1985,"$66,000 "
50468070,9/26/1984,$0 
50468080,5/31/2018,"$212,000 "
50468080,11/19/2009,"$177,000 "
50468080,6/23/2008,"$101,500 "
50468080,12/6/2007,"$195,200 "
50468080,5/24/2000,"$69,582 "
50468080,6/26/1985,"$74,575 "
50468080,9/26/1984,$0 
50468090,9/28/2024,"$239,000 "
50468090,12/12/2023,$0 
50468090,10/12/2020,$0 
50468090,1/25/2019,"$167,000 "
50468090,6/28/2012,"$105,000 "
50468090,7/14/2006,"$193,000 "
50468090,4/7/1989,"$60,500 "
50468090,2/21/1989,$0 
50468090,9/27/1986,$0 
50468100,8/2/2019,"$190,000 "
50468100,4/29/2019,$0 
50468100,4/29/2014,"$105,000 "
50468100,3/26/2014,"$55,000 "
50468100,3/3/1998,"$34,000 "
50468100,12/22/1997,"$24,550 "
50468100,7/11/1985,"$70,070 "
50468110,10/2/2000,"$70,179 "
50468110,7/18/1991,"$79,000 "
50468110,1/18/1991,"$55,300 "
50468120,7/9/2020,"$174,000 "
50468120,12/31/1987,"$68,500 "
50468120,4/30/1985,"$62,000 "
50468120,9/26/1984,$0 
50468130,8/26/2003,$0 
50468130,2/27/2002,"$63,000 "
50468130,11/12/1991,$0 
50468140,11/19/2012,$0 
50468140,8/31/2012,"$87,500 "
50468140,10/6/2006,"$199,500 "
50468140,10/9/2003,"$66,000 "
50468140,10/9/2003,$0 
50468140,12/27/1989,$0 
50468150,5/28/1985,"$76,500 "
50468150,9/26/1984,$0 
50468160,7/8/1992,$0 
50468160,5/13/1985,"$61,250 "
50468160,9/26/1984,$0 
50468170,9/11/2023,"$237,000 "
50468170,4/12/2019,"$168,500 "
50468170,1/14/2013,"$105,000 "
50468170,3/31/2005,"$189,500 "
50468170,8/27/2001,"$52,000 "
50468170,6/20/1985,"$65,000 "
50468180,7/25/2016,"$132,000 "
50468180,10/13/2005,$0 
50468180,11/5/1996,"$230,000 "
50468180,7/11/1995,"$60,000 "
50468190,5/28/2024,"$300,000 "
50468190,5/4/2021,"$247,000 "
50468190,6/8/2001,"$58,000 "
50468190,6/6/1985,"$79,282 "
50468190,9/26/1984,$0 
50468200,6/22/2020,"$242,292 "
50468200,12/19/2013,$0 
50468200,12/17/2007,"$164,500 "
50468200,6/6/2003,"$87,000 "
50468200,5/24/1985,"$61,740 "
50468200,5/24/1985,$0 
50468210,12/14/2004,"$202,000 "
50468210,11/20/1997,$0 
50468210,7/12/1985,"$74,575 "
50468220,11/25/2003,"$134,900 "
50468220,4/25/1985,"$78,500 "
50468220,9/26/1984,$0 
50468230,6/13/2018,"$159,900 "
50468230,9/17/2001,"$58,000 "
50468230,7/30/1987,"$73,500 "
50468230,4/29/1985,"$65,000 "
50468240,6/15/2017,"$198,000 "
50468240,3/1/2017,"$152,000 "
50468240,10/30/2001,"$51,850 "
50468240,6/27/2000,"$58,000 "
50468240,6/27/2000,$0 
50468250,11/5/2021,"$233,000 "
50468250,7/9/2019,"$145,500 "
50468250,4/24/2003,"$77,000 "
50468250,2/28/1991,$0 
50468250,12/27/1989,$0 
50468260,11/14/2023,"$221,000 "
50468260,10/6/2006,"$196,500 "
50468260,9/16/2004,"$159,600 "
50468260,1/20/2000,"$40,000 "
50468260,5/10/1985,"$65,000 "
50468270,5/26/2004,"$120,000 "
50468270,5/8/1985,"$62,500 "
50468270,9/26/1984,$0 
50468280,4/13/2012,"$142,000 "
50468280,2/20/2012,"$186,186 "
50468280,3/29/2005,"$215,500 "
50468280,2/26/2004,"$149,000 "
50468280,12/15/1999,"$62,500 "
50468290,5/20/2021,"$255,900 "
50468290,9/8/2017,"$145,400 "
50468290,8/16/2017,$0 
50468290,6/19/1985,"$71,500 "
50468290,9/26/1984,$0 
50468300,3/23/2021,"$199,900 "
50468300,3/22/2005,"$180,500 "
50468300,10/22/2002,"$463,000 "
50468300,8/21/2001,"$42,750 "
50468310,11/8/2002,$0 
50468310,8/9/2002,"$57,500 "
50468310,1/31/1996,$0 
50468320,6/21/2003,"$125,000 "
50468320,12/23/1997,$0 
50468320,8/28/1996,"$79,000 "
50468330,7/15/2008,"$178,000 "
50468330,7/2/2003,"$111,000 "
50468330,3/28/2003,"$92,500 "
50468330,3/19/1999,"$14,400 "
50468340,5/22/2020,"$221,000 "
50468340,1/28/2019,"$167,000 "
50468340,1/27/2012,"$100,000 "
50468340,8/4/2005,"$225,000 "
50468340,7/10/2003,"$93,900 "
50468340,5/24/1985,$0 
50468350,2/26/2024,"$360,000 "
50468350,2/1/2019,"$275,000 "
50468350,6/21/1985,"$84,900 "
50468350,9/26/1984,$0 
50468360,10/10/2002,"$104,000 "
50468360,8/31/1989,"$86,000 "
50468360,1/1/1942,"$72,200 "
50468370,11/5/2009,"$145,000 "
50468370,1/2/2009,$0 
50468370,10/20/2003,$0 
50468370,5/30/1985,"$64,000 "
50468370,9/26/1984,$0 
50468380,8/28/2010,$0 
50468380,11/25/2002,"$83,000 "
50468380,5/9/1985,"$80,500 "
50468380,9/26/1984,$0 
50468390,4/2/2025,"$259,000 "
50468390,8/30/2013,$0 
50468390,8/30/2013,"$152,000 "
50468390,6/7/2013,"$148,500 "
50468390,9/20/2012,"$117,725 "
50468390,10/10/2006,"$250,000 "
50468390,10/10/2006,"$39,400 "
50468390,11/20/1997,$0 
50468390,7/12/1985,"$72,200 "
50468390,9/26/1984,$0 
50468400,3/30/2021,"$215,000 "
50468400,4/25/2012,$0 
50468400,4/25/2012,"$105,000 "
50468400,6/23/2006,"$203,750 "
50468400,5/13/2005,"$176,000 "
50468400,9/12/2003,"$97,000 "
50468400,4/9/2002,"$57,500 "
50468410,9/9/2005,"$213,000 "
50468410,8/25/2003,"$96,500 "
50468410,6/14/2003,$0 
50468420,8/27/2024,"$292,500 "
50468420,6/21/2021,$0 
50468420,7/6/2017,"$199,000 "
50468420,1/23/2015,"$169,900 "
50468420,6/11/1985,"$76,500 "
50468420,9/26/1984,$0 
50468430,12/28/2015,$0 
50468430,5/23/2014,"$193,750 "
50468430,9/24/2003,"$129,000 "
