account_num,year_built,construction_quality,building_condition,hvac,building_type,gross_building_area,net_leasable_area
50467850,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467860,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467870,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467880,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467890,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467900,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467910,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467920,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467930,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467940,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467950,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467960,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467970,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467980,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467990,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468000,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468010,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468020,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468030,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468040,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468050,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468060,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468070,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468080,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468090,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468100,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468110,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468120,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468130,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468140,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468150,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468160,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468170,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468180,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468190,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468200,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468210,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468220,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468230,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468240,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468250,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468260,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468270,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468280,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468290,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468300,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468310,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468320,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468330,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468340,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468350,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468360,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468370,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468380,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468390,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468400,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468410,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468420,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468430,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468440,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468450,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468460,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468470,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468480,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468490,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468500,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468510,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468520,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468530,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468540,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468550,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468560,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468570,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468580,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468590,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468600,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468610,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468620,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468630,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468640,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468650,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468660,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468670,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468680,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468690,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468700,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468710,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468720,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468730,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468740,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468750,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468760,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468770,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468780,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468790,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468800,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468810,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468820,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468830,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468840,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468850,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468860,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468870,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468880,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468890,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468900,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468910,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468920,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468930,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468940,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468950,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468960,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468970,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468980,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50468990,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50469000,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50469010,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50469020,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50469030,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50469040,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50227240,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227250,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227260,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227270,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227280,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227290,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227300,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227320,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227310,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227330,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227340,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50227350,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225910,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225940,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225920,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225950,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225930,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225960,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226280,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225970,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226000,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225980,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226010,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50225990,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226020,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226290,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226030,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226060,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226040,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226070,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226050,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226080,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226320,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226300,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226340,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226310,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226090,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226120,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226100,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226130,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
50226110,1948,VERY GOOD,VERY GOOD,CENTRAL AIR TO AIR,CONDO <= 3 STORIES,NA,NA
